Series,Type,Year,Group,Value,Stdev,Scale
bts_bootstrap,absolute,2012,Ben.zooplankton,38789286.95,12241608.73,2.14E-06
bts_bootstrap,absolute,2013,Ben.zooplankton,34483293.8,18743464.77,2.14E-06
bts_bootstrap,absolute,2014,Ben.zooplankton,10540220.71,3286315.637,2.14E-06
bts_bootstrap,absolute,2015,Ben.zooplankton,32298064.5,12149656.14,2.14E-06
bts_bootstrap,absolute,2016,Ben.zooplankton,22370976.95,6754906.058,2.14E-06
bts_bootstrap,absolute,2017,Ben.zooplankton,35433823.84,11315647.05,2.14E-06
bts_bootstrap,absolute,2018,Ben.zooplankton,32531008.69,17877153.73,2.14E-06
bts_bootstrap,absolute,2019,Ben.zooplankton,14450607.06,4071348.609,2.14E-06
bts_bootstrap,absolute,1982,Capelin,885137.1342,217640.6064,2.14E-06
bts_bootstrap,absolute,1983,Capelin,691512.3984,207520.2781,2.14E-06
bts_bootstrap,absolute,1984,Capelin,911522.0409,110326.0551,2.14E-06
bts_bootstrap,absolute,1985,Capelin,567657.4811,173798.2934,2.14E-06
bts_bootstrap,absolute,1986,Capelin,2294120.059,762337.3914,2.14E-06
bts_bootstrap,absolute,1987,Capelin,317368.7384,77561.72337,2.14E-06
bts_bootstrap,absolute,1988,Capelin,912325.5949,127098.5677,2.14E-06
bts_bootstrap,absolute,1989,Capelin,193925.1307,34173.61318,2.14E-06
bts_bootstrap,absolute,1990,Capelin,1460891.602,474737.6301,2.14E-06
bts_bootstrap,absolute,1991,Capelin,571369.2102,100727.8828,2.14E-06
bts_bootstrap,absolute,1992,Capelin,1804545.608,360880.6151,2.14E-06
bts_bootstrap,absolute,1993,Capelin,7805509.621,4903069.83,2.14E-06
bts_bootstrap,absolute,1994,Capelin,507418.6496,66269.26412,2.14E-06
bts_bootstrap,absolute,1995,Capelin,937385.4932,574879.139,2.14E-06
bts_bootstrap,absolute,1996,Capelin,121876.2282,16491.30788,2.14E-06
bts_bootstrap,absolute,1997,Capelin,507681.1669,227368.5658,2.14E-06
bts_bootstrap,absolute,1998,Capelin,136507.4579,19668.55847,2.14E-06
